,News Channel,Date,Compound,Positive,Neutral,Negative,Tweets Ago
257,@BBCNews,Wed Mar 07 12:25:05 +0000 2018,0.0,0.0,1.0,0.0,58
258,@BBCNews,Wed Mar 07 12:20:08 +0000 2018,-0.128,0.0,0.933,0.067,59
259,@BBCNews,Wed Mar 07 12:16:14 +0000 2018,-0.4939,0.0,0.775,0.225,60
260,@BBCNews,Wed Mar 07 12:11:56 +0000 2018,-0.4939,0.0,0.714,0.286,61
261,@BBCNews,Wed Mar 07 12:11:31 +0000 2018,0.2023,0.073,0.927,0.0,62
262,@BBCNews,Wed Mar 07 12:02:19 +0000 2018,-0.6908,0.0,0.769,0.231,63
263,@BBCNews,Wed Mar 07 11:49:48 +0000 2018,0.0516,0.13,0.87,0.0,64
264,@BBCNews,Wed Mar 07 11:46:35 +0000 2018,0.0,0.0,1.0,0.0,65
265,@BBCNews,Wed Mar 07 11:29:30 +0000 2018,0.0,0.0,1.0,0.0,66
266,@BBCNews,Wed Mar 07 11:24:16 +0000 2018,0.0,0.0,1.0,0.0,67
267,@BBCNews,Wed Mar 07 11:20:43 +0000 2018,-0.296,0.0,0.885,0.115,68
268,@BBCNews,Wed Mar 07 11:20:25 +0000 2018,-0.7845,0.0,0.537,0.463,69
269,@BBCNews,Wed Mar 07 11:20:19 +0000 2018,-0.1027,0.0,0.935,0.065,70
270,@BBCNews,Wed Mar 07 11:18:15 +0000 2018,0.2714,0.163,0.724,0.113,71
271,@BBCNews,Wed Mar 07 10:44:20 +0000 2018,-0.4019,0.0,0.881,0.119,72
272,@BBCNews,Wed Mar 07 10:42:51 +0000 2018,0.0,0.0,1.0,0.0,73
273,@BBCNews,Wed Mar 07 10:42:48 +0000 2018,-0.1531,0.0,0.932,0.068,74
274,@BBCNews,Wed Mar 07 10:19:24 +0000 2018,0.0,0.197,0.606,0.197,75
275,@BBCNews,Wed Mar 07 10:02:05 +0000 2018,0.34,0.211,0.789,0.0,76
276,@BBCNews,Wed Mar 07 09:47:48 +0000 2018,0.0,0.0,1.0,0.0,77
277,@BBCNews,Wed Mar 07 09:40:43 +0000 2018,-0.5574,0.092,0.634,0.275,78
278,@BBCNews,Wed Mar 07 08:40:46 +0000 2018,0.0,0.0,1.0,0.0,79
279,@BBCNews,Wed Mar 07 08:38:33 +0000 2018,0.0,0.0,1.0,0.0,80
280,@BBCNews,Wed Mar 07 08:26:08 +0000 2018,0.0,0.0,1.0,0.0,81
281,@BBCNews,Wed Mar 07 08:25:56 +0000 2018,0.0,0.0,1.0,0.0,82
282,@BBCNews,Wed Mar 07 08:11:30 +0000 2018,0.3612,0.135,0.865,0.0,83
283,@BBCNews,Wed Mar 07 07:56:49 +0000 2018,-0.2263,0.0,0.913,0.087,84
284,@BBCNews,Wed Mar 07 07:34:15 +0000 2018,0.0,0.0,1.0,0.0,85
285,@BBCNews,Wed Mar 07 07:33:46 +0000 2018,0.0258,0.073,0.927,0.0,86
286,@BBCNews,Wed Mar 07 05:07:59 +0000 2018,0.0,0.0,1.0,0.0,87
287,@BBCNews,Wed Mar 07 03:56:03 +0000 2018,0.0,0.0,1.0,0.0,88
288,@BBCNews,Wed Mar 07 02:07:56 +0000 2018,-0.1531,0.0,0.789,0.211,89
289,@BBCNews,Wed Mar 07 02:07:56 +0000 2018,-0.3818,0.0,0.755,0.245,90
290,@BBCNews,Wed Mar 07 02:02:47 +0000 2018,0.0,0.0,1.0,0.0,91
291,@BBCNews,Wed Mar 07 01:49:21 +0000 2018,0.0,0.0,1.0,0.0,92
292,@BBCNews,Wed Mar 07 01:19:09 +0000 2018,0.0,0.0,1.0,0.0,93
293,@BBCNews,Wed Mar 07 01:13:57 +0000 2018,0.6249,0.459,0.541,0.0,94
294,@BBCNews,Tue Mar 06 22:58:05 +0000 2018,-0.5574,0.0,0.714,0.286,95
295,@BBCNews,Tue Mar 06 22:54:58 +0000 2018,-0.4215,0.0,0.811,0.189,96
296,@BBCNews,Tue Mar 06 22:46:46 +0000 2018,0.0,0.0,1.0,0.0,97
297,@BBCNews,Tue Mar 06 22:46:42 +0000 2018,-0.5267,0.0,0.779,0.221,98
298,@BBCNews,Tue Mar 06 22:46:38 +0000 2018,-0.765,0.0,0.625,0.375,99
299,@BBCNews,Tue Mar 06 22:46:31 +0000 2018,-0.6908,0.0,0.678,0.322,100
300,@CBSNews,Wed Mar 07 23:51:02 +0000 2018,0.0,0.0,1.0,0.0,1
301,@CBSNews,Wed Mar 07 23:44:52 +0000 2018,-0.7269,0.0,0.705,0.295,2
302,@CBSNews,Wed Mar 07 23:43:35 +0000 2018,0.0,0.0,1.0,0.0,3
303,@CBSNews,Wed Mar 07 23:40:59 +0000 2018,0.2732,0.104,0.896,0.0,4
304,@CBSNews,Wed Mar 07 23:38:14 +0000 2018,-0.4588,0.068,0.727,0.205,5
305,@CBSNews,Wed Mar 07 23:36:45 +0000 2018,0.0,0.0,1.0,0.0,6
306,@CBSNews,Wed Mar 07 23:34:48 +0000 2018,-0.3818,0.0,0.88,0.12,7
307,@CBSNews,Wed Mar 07 23:33:00 +0000 2018,-0.4767,0.0,0.866,0.134,8
308,@CBSNews,Wed Mar 07 23:30:01 +0000 2018,0.0,0.0,1.0,0.0,9
309,@CBSNews,Wed Mar 07 23:10:03 +0000 2018,-0.3612,0.0,0.884,0.116,10
310,@CBSNews,Wed Mar 07 23:06:30 +0000 2018,0.4215,0.157,0.843,0.0,11
311,@CBSNews,Wed Mar 07 22:50:01 +0000 2018,0.5267,0.183,0.739,0.078,12
312,@CBSNews,Wed Mar 07 22:30:02 +0000 2018,0.3551,0.101,0.899,0.0,13
313,@CBSNews,Wed Mar 07 22:10:01 +0000 2018,0.0,0.0,1.0,0.0,14
314,@CBSNews,Wed Mar 07 21:50:01 +0000 2018,-0.4767,0.0,0.788,0.212,15
315,@CBSNews,Wed Mar 07 21:30:01 +0000 2018,0.0,0.0,1.0,0.0,16
316,@CBSNews,Wed Mar 07 21:10:01 +0000 2018,0.0,0.0,1.0,0.0,17
317,@CBSNews,Wed Mar 07 20:50:56 +0000 2018,0.128,0.134,0.711,0.155,18
318,@CBSNews,Wed Mar 07 20:30:32 +0000 2018,0.0,0.0,1.0,0.0,19
319,@CBSNews,Wed Mar 07 20:06:11 +0000 2018,0.0,0.0,1.0,0.0,20
320,@CBSNews,Wed Mar 07 23:51:02 +0000 2018,0.0,0.0,1.0,0.0,21
321,@CBSNews,Wed Mar 07 23:44:52 +0000 2018,-0.7269,0.0,0.705,0.295,22
322,@CBSNews,Wed Mar 07 23:43:35 +0000 2018,0.0,0.0,1.0,0.0,23
323,@CBSNews,Wed Mar 07 23:40:59 +0000 2018,0.2732,0.104,0.896,0.0,24
324,@CBSNews,Wed Mar 07 23:38:14 +0000 2018,-0.4588,0.068,0.727,0.205,25
